"build_id","title","surfaces_reviewed","classification","external_source_id","external_locator","decision","public_label","limitations"
"080","Turn Reporting Into Public Infrastructure","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","PROV","https://www.w3.org/TR/prov-o/ — Sections 2–4; Entity, Activity, Agent; derivation, attribution and association","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"081","What Might People Be Struggling With?","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN analysis/design proposition; fictional fixture; observable prototype behavior","SELF","Public exact routes and retained implementation; no independent-world proposition required","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"082","How Does This Audience Actually Think?","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN analysis/design proposition; fictional fixture; observable prototype behavior","SELF","Public exact routes and retained implementation; no independent-world proposition required","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"083","Turn Real Work Into Public Proof Without Leaking the Work","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","PROV","https://www.w3.org/TR/prov-o/ — Sections 2–4; Entity, Activity, Agent; derivation, attribution and association","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"084","Who Created the Value—and Who Gets It?","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","PROV","https://www.w3.org/TR/prov-o/ — Sections 2–4; Entity, Activity, Agent; derivation, attribution and association","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"085","Who Is Shaping This Decision?","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN analysis/design proposition; fictional fixture; observable prototype behavior","SELF","Public exact routes and retained implementation; no independent-world proposition required","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"086","Use the Post as a Prototype","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN analysis/design proposition; fictional fixture; observable prototype behavior","SELF","Public exact routes and retained implementation; no independent-world proposition required","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"087","Build Your Own Media System","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","PROV","https://www.w3.org/TR/prov-o/ — Sections 2–4; Entity, Activity, Agent; derivation, attribution and association","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"088","Your Network Is Not a Contact List","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN analysis/design proposition; fictional fixture; observable prototype behavior","SELF","Public exact routes and retained implementation; no independent-world proposition required","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"089","Stop Being the Only Database in Your Company","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN analysis/design proposition; fictional fixture; observable prototype behavior","SELF","Public exact routes and retained implementation; no independent-world proposition required","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"090","Build a Research Team of AI Agents That Can Show Their Work","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","NIST-AI","https://doi.org/10.6028/NIST.AI.100-1 — Sections 3–5; GOVERN, MAP, MEASURE and MANAGE","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"091","What Is This AI Allowed to Remember?","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","EU-GDPR","https://eur-lex.europa.eu/eli/reg/2016/679/oj — Articles 5, 17 and 22; applicability and exceptions remain controlling","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"092","Rehearse Work Across People, AI and Software","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN analysis/design proposition; fictional fixture; observable prototype behavior","SELF","Public exact routes and retained implementation; no independent-world proposition required","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"093","Fictional Regulated-Workflow Rehearsal","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","FDA-AUDIT","https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/fda-bioresearch-monitoring-information/guidance-industry-computerized-systems-used-clinical-trials — Section II Definitions; Section IV.B Audit Trails","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"094","Inspect a Fictional Evidence Chain","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN analysis/design proposition; fictional fixture; observable prototype behavior","SELF","Public exact routes and retained implementation; no independent-world proposition required","HOLD: the original B interaction still uses “defensible compliance record” and “proof graph” language, while the distribution hook asks whether work can be proved. FDA clinical-trial guidance cannot support that generalization.","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","HOLD: the original B interaction still uses “defensible compliance record” and “proof graph” language, while the distribution hook asks whether work can be proved. FDA clinical-trial guidance cannot support that generalization."
"095","Institutional Conditions Observatory","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN analysis/design proposition; fictional fixture; observable prototype behavior","SELF","Public exact routes and retained implementation; no independent-world proposition required","HOLD: the original B experience still requires a complete sentence-level population and association audit before its institutional/neuroscience language can receive the narrow public label.","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","HOLD: the original B experience still requires a complete sentence-level population and association audit before its institutional/neuroscience language can receive the narrow public label."
"096","Learn From Cannabis Experience Without Reducing People to Labels","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","COCHRANE","https://training.cochrane.org/handbook — Chapters 3–5, 7–8 and 14","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"097","Personalization You Can See and Control","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","NIST-AI","https://doi.org/10.6028/NIST.AI.100-1 — Sections 3–5; GOVERN, MAP, MEASURE and MANAGE","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"098","Psychedelic Administrative Handoff Rehearsal","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","WHO-CONT","https://www.who.int/publications/i/item/9789241514033 — pp. 8–15","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
"099","Fictional Archipelago Data Commons","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN analysis/design proposition; fictional fixture; observable prototype behavior","SELF","Public exact routes and retained implementation; no independent-world proposition required","HOLD: the original B interaction still displays Hawaiʻi, Maui and Molokaʻi in a fictional commons. A disclaimer cannot substitute for unmistakably fictional geography or community authorization.","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","HOLD: the original B interaction still displays Hawaiʻi, Maui and Molokaʻi in a fictional commons. A disclaimer cannot substitute for unmistakably fictional geography or community authorization."
"100","Island Resilience Scenario & Decision Room","overview; A route; B route; six-scene film/VTT/downloadable transcript; LinkedIn distribution entry","RN synthesis/prototype plus bounded contextual source","NIST-RES","https://doi.org/10.6028/NIST.SP.1190v1 — Six-step planning process; performance goals, stakeholders, priorities and resources","PASS — narrow claim-classification review","CLAIM-REVIEWED SYNTHETIC DESIGN RECORD","Does not validate effectiveness, safety, compliance, representativeness, cultural authority, professional suitability or outcomes."
