claim_id,build_id,surface,public_claim,claim_type,source_id,source_title,issuing_body,published_or_version,locator,support,reasoning,limitations,disposition
B071-FILM-S5,071,B film/transcript,A DASHBOARD IS NOT A CARE OR LEGAL DETERMINATION.,mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B071-FILM-S6,071,B film/transcript,TRACK THE DISTANCE BETWEEN LEGAL AND REACHABLE. KEEP EVERY ACCESS GATE CONNECTED.,mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B072-FILM-S1,072,B film/transcript,BUILD 072. ONE POLICY. MANY REALITIES. Islands experience access differently.,prototype identity / synthesis,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,"Names the public prototype or states its design question; the live route verifies the artifact, not an external outcome.",Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B072-FILM-S2,072,B film/transcript,"PLACE. CHANGE THE PATH. Connect providers, transport, supply, infrastructure, and administration.",mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B072-FILM-S3,072,B film/transcript,COMPARE. SAME RULE. DIFFERENT CONSTRAINTS. Never flatten local barriers.,mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B072-FILM-S4,072,B film/transcript,CULTURE. DO NOT CLAIM AUTHORITY. Representation requires consent and relationship.,mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B072-FILM-S5,072,B film/transcript,BOUNDARY. MAP ≠ LAW OR CARE. Keep unknowns visible.,mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B072-FILM-S6,072,B film/transcript,SAVE. PRESERVE LOCAL DIFFERENCE. Access intelligence must remain place-aware.,mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B073-FILM-S1,073,B film/transcript,BUILD 073. ACCESS FOR WHOM? Reform does not guarantee usability.,prototype identity / synthesis,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,"Names the public prototype or states its design question; the live route verifies the artifact, not an external outcome.",Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B073-FILM-S2,073,B film/transcript,CONSTRAINTS. COST. PLACE. ELIGIBILITY. RISK. Keep every practical barrier visible.,mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B073-FILM-S3,073,B film/transcript,EXCLUSION. DISABILITY. LANGUAGE. CULTURE. WORKFORCE. One favorable signal cannot erase another.,mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B073-FILM-S4,073,B film/transcript,METHOD. NO COMPOSITE SCORE. Preserve separate signals and unknowns.,mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B073-FILM-S5,073,B film/transcript,BOUNDARY. A MAP CANNOT DETERMINE EQUITY. Synthetic contexts only.,mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B073-FILM-S6,073,B film/transcript,SAVE. WHO CAN ACTUALLY USE IT? Begin there.,mixed: design synthesis with contextual external premise,WHO-IPCHS,Integrated people-centred care,World Health Organization,Framework adopted 2016; page current at retrieval,https://www.who.int/health-topics/integrated-people-centered-care — Overview; five interwoven strategies; Key messages,direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"General health-systems authority, not jurisdiction-specific eligibility, cannabis, or psychedelic-care law.",CERTIFY WITH LIMITATION
B074-FILM-S1,074,B film/transcript,BUILD 074. THE LAW SAYS YES. Operations may still say no.,prototype identity / synthesis,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,"Names the public prototype or states its design question; the live route verifies the artifact, not an external outcome.",Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B074-FILM-S2,074,B film/transcript,"MEASURE. ENACTMENT ≠ IMPLEMENTATION. Test affordability, workforce, equity, safety, outcomes.",mixed: design synthesis with contextual external premise,CDC-EVAL,CDC Program Evaluation Framework,U.S. Centers for Disease Control and Prevention,2024-08-20,"https://www.cdc.gov/evaluation/php/evaluation-framework/index.html — About; Evaluation Steps (assess context, gather credible evidence, act on findings)",contextual,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Public-health evaluation guidance; not psychedelic-legal authority and not proof that a particular reform was implemented.,CERTIFY WITH LIMITATION
B074-FILM-S3,074,B film/transcript,RULES. SOURCE. DATE. SCORE. WEIGHT. Expose every illustrative calculation.,mixed: design synthesis with contextual external premise,CDC-EVAL,CDC Program Evaluation Framework,U.S. Centers for Disease Control and Prevention,2024-08-20,"https://www.cdc.gov/evaluation/php/evaluation-framework/index.html — About; Evaluation Steps (assess context, gather credible evidence, act on findings)",contextual,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Public-health evaluation guidance; not psychedelic-legal authority and not proof that a particular reform was implemented.,CERTIFY WITH LIMITATION
B074-FILM-S4,074,B film/transcript,EVIDENCE. MISSING STAYS MISSING. Never substitute authorization for operations.,mixed: design synthesis with contextual external premise,CDC-EVAL,CDC Program Evaluation Framework,U.S. Centers for Disease Control and Prevention,2024-08-20,"https://www.cdc.gov/evaluation/php/evaluation-framework/index.html — About; Evaluation Steps (assess context, gather credible evidence, act on findings)",contextual,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Public-health evaluation guidance; not psychedelic-legal authority and not proof that a particular reform was implemented.,CERTIFY WITH LIMITATION
B074-FILM-S5,074,B film/transcript,BOUNDARY. DEMO ORDER ≠ REAL RANKING. Synthetic jurisdictions only.,mixed: design synthesis with contextual external premise,CDC-EVAL,CDC Program Evaluation Framework,U.S. Centers for Disease Control and Prevention,2024-08-20,"https://www.cdc.gov/evaluation/php/evaluation-framework/index.html — About; Evaluation Steps (assess context, gather credible evidence, act on findings)",contextual,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Public-health evaluation guidance; not psychedelic-legal authority and not proof that a particular reform was implemented.,CERTIFY WITH LIMITATION
B074-FILM-S6,074,B film/transcript,SAVE. COMPARE IMPLEMENTATION. Keep each readiness layer distinct.,mixed: design synthesis with contextual external premise,CDC-EVAL,CDC Program Evaluation Framework,U.S. Centers for Disease Control and Prevention,2024-08-20,"https://www.cdc.gov/evaluation/php/evaluation-framework/index.html — About; Evaluation Steps (assess context, gather credible evidence, act on findings)",contextual,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Public-health evaluation guidance; not psychedelic-legal authority and not proof that a particular reform was implemented.,CERTIFY WITH LIMITATION
B075-FILM-S1,075,B film/transcript,BUILD 075. SAME GOAL. DIFFERENT MACHINE. Regulatory designs create different work.,prototype identity / synthesis,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,"Names the public prototype or states its design question; the live route verifies the artifact, not an external outcome.",Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B075-FILM-S2,075,B film/transcript,OPEN. GOVERNANCE. INSTITUTIONS. LICENSING. Trace authority and entry.,RN synthesis / design instruction,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,Normative design instruction or explicitly bounded synthetic proposition; its validity does not depend on a real-world outcome claim.,Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B075-FILM-S3,075,B film/transcript,FOLLOW. ENFORCEMENT. RIGHTS. DATA. FINANCING. Each choice changes burdens and safeguards.,RN synthesis / design instruction,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,Normative design instruction or explicitly bounded synthetic proposition; its validity does not depend on a real-world outcome claim.,Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B075-FILM-S4,075,B film/transcript,SWAP. CHANGE ONE DIMENSION. Hold seven fixed; inspect the tradeoff.,RN synthesis / design instruction,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,Normative design instruction or explicitly bounded synthetic proposition; its validity does not depend on a real-world outcome claim.,Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B075-FILM-S5,075,B film/transcript,BOUNDARY. DESIGN ≠ CURRENT LAW. Synthetic models only.,RN synthesis / design instruction,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,Normative design instruction or explicitly bounded synthetic proposition; its validity does not depend on a real-world outcome claim.,Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B075-FILM-S6,075,B film/transcript,SAVE. COMPARE TRADEOFFS. Keep claims small and connections visible.,RN synthesis / design instruction,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,Normative design instruction or explicitly bounded synthetic proposition; its validity does not depend on a real-world outcome claim.,Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B076-FILM-S1,076,B film/transcript,BUILD 076. SIMILAR LAWS. DIFFERENT SYSTEMS. Labels can conceal structure.,prototype identity / synthesis,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,"Names the public prototype or states its design question; the live route verifies the artifact, not an external outcome.",Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B076-FILM-S2,076,B film/transcript,QUESTION. WHO? WHAT AUTHORITY? WHEN? Narrow the comparison first.,mixed: design synthesis with contextual external premise,PROV,PROV-O: The PROV Ontology,W3C,2013-04-30,"https://www.w3.org/TR/prov-o/ — Sections 2–4; Entity, Activity, Agent; derivation, attribution and association properties",direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"A provenance data model, not proof that a record is true, lawful, complete, or authorized for publication.",CERTIFY WITH LIMITATION
B076-FILM-S3,076,B film/transcript,SOURCE. LOCATOR. ISSUED. EFFECTIVE. AS-OF. Keep answers attached to evidence.,mixed: design synthesis with contextual external premise,PROV,PROV-O: The PROV Ontology,W3C,2013-04-30,"https://www.w3.org/TR/prov-o/ — Sections 2–4; Entity, Activity, Agent; derivation, attribution and association properties",direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"A provenance data model, not proof that a record is true, lawful, complete, or authorized for publication.",CERTIFY WITH LIMITATION
B076-FILM-S4,076,B film/transcript,DISAGREEMENT. CONFLICT STAYS VISIBLE. Never guess missing dates.,mixed: design synthesis with contextual external premise,PROV,PROV-O: The PROV Ontology,W3C,2013-04-30,"https://www.w3.org/TR/prov-o/ — Sections 2–4; Entity, Activity, Agent; derivation, attribution and association properties",direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"A provenance data model, not proof that a record is true, lawful, complete, or authorized for publication.",CERTIFY WITH LIMITATION
B076-FILM-S5,076,B film/transcript,BOUNDARY. A MAP IS NOT AUTHORITY. Fictional jurisdictions only.,mixed: design synthesis with contextual external premise,PROV,PROV-O: The PROV Ontology,W3C,2013-04-30,"https://www.w3.org/TR/prov-o/ — Sections 2–4; Entity, Activity, Agent; derivation, attribution and association properties",direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"A provenance data model, not proof that a record is true, lawful, complete, or authorized for publication.",CERTIFY WITH LIMITATION
B076-FILM-S6,076,B film/transcript,"SAVE. TRACE THE DIFFERENCE. Keep source, date, conflict, unknown.",mixed: design synthesis with contextual external premise,PROV,PROV-O: The PROV Ontology,W3C,2013-04-30,"https://www.w3.org/TR/prov-o/ — Sections 2–4; Entity, Activity, Agent; derivation, attribution and association properties",direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,"A provenance data model, not proof that a record is true, lawful, complete, or authorized for publication.",CERTIFY WITH LIMITATION
B077-FILM-S1,077,B film/transcript,BUILD 077. A RULE CHANGES. What moves next?,prototype identity / synthesis,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,"Names the public prototype or states its design question; the live route verifies the artifact, not an external outcome.",Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B077-FILM-S2,077,B film/transcript,GRAPH. CLAUSE → ACTOR → OBLIGATION → WORKFLOW. Connect change to triggered work.,RN synthesis / design instruction,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,Normative design instruction or explicitly bounded synthetic proposition; its validity does not depend on a real-world outcome claim.,Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B077-FILM-S3,077,B film/transcript,TIME. NULL DATE STAYS NULL. Never calculate missing deadlines.,RN synthesis / design instruction,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,Normative design instruction or explicitly bounded synthetic proposition; its validity does not depend on a real-world outcome claim.,Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B077-FILM-S4,077,B film/transcript,OPEN WORK. RISKS. OPPORTUNITIES. QUESTIONS. Trace what still needs inspection.,RN synthesis / design instruction,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,Normative design instruction or explicitly bounded synthetic proposition; its validity does not depend on a real-world outcome claim.,Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B077-FILM-S5,077,B film/transcript,BOUNDARY. CONSEQUENCE LINE ≠ LEGAL ADVICE. Synthetic changes only.,RN synthesis / design instruction,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,Normative design instruction or explicitly bounded synthetic proposition; its validity does not depend on a real-world outcome claim.,Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B077-FILM-S6,077,B film/transcript,SAVE. TRACE THE CONSEQUENCE. Keep every claim narrow.,RN synthesis / design instruction,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,Normative design instruction or explicitly bounded synthetic proposition; its validity does not depend on a real-world outcome claim.,Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B078-FILM-S1,078,B film/transcript,BUILD 078. A STUDY TRAVELS. Evidence can fray.,prototype identity / synthesis,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,"Names the public prototype or states its design question; the live route verifies the artifact, not an external outcome.",Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
B078-FILM-S2,078,B film/transcript,ANCHORS. SOURCE. QUALITY. CLAIM. POPULATION. OUTCOME. Fix what cannot change.,mixed: design synthesis with contextual external premise,COCHRANE,"Cochrane Handbook for Systematic Reviews of Interventions, version 6.5",Cochrane,2024-08,"https://training.cochrane.org/handbook — Chapters 3–5 (questions, eligibility, sources); Chapters 7–8 (data and risk of bias); Chapter 14 (interpreting results)",direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Methodological authority for intervention evidence; does not validate any synthetic record or substantive cannabis/psychedelic finding.,CERTIFY WITH LIMITATION
B078-FILM-S3,078,B film/transcript,LIMITS. UNCERTAINTY TRAVELS TOO. Friendly language cannot upgrade evidence.,mixed: design synthesis with contextual external premise,COCHRANE,"Cochrane Handbook for Systematic Reviews of Interventions, version 6.5",Cochrane,2024-08,"https://training.cochrane.org/handbook — Chapters 3–5 (questions, eligibility, sources); Chapters 7–8 (data and risk of bias); Chapter 14 (interpreting results)",direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Methodological authority for intervention evidence; does not validate any synthetic record or substantive cannabis/psychedelic finding.,CERTIFY WITH LIMITATION
B078-FILM-S4,078,B film/transcript,AUDIENCE. ADAPT THE EXPLANATION. Carry audience-specific caveats with it.,mixed: design synthesis with contextual external premise,COCHRANE,"Cochrane Handbook for Systematic Reviews of Interventions, version 6.5",Cochrane,2024-08,"https://training.cochrane.org/handbook — Chapters 3–5 (questions, eligibility, sources); Chapters 7–8 (data and risk of bias); Chapter 14 (interpreting results)",direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Methodological authority for intervention evidence; does not validate any synthetic record or substantive cannabis/psychedelic finding.,CERTIFY WITH LIMITATION
B078-FILM-S5,078,B film/transcript,BOUNDARY. TRANSLATION ≠ ADVICE OR PROOF. Synthetic evidence only.,mixed: design synthesis with contextual external premise,COCHRANE,"Cochrane Handbook for Systematic Reviews of Interventions, version 6.5",Cochrane,2024-08,"https://training.cochrane.org/handbook — Chapters 3–5 (questions, eligibility, sources); Chapters 7–8 (data and risk of bias); Chapter 14 (interpreting results)",direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Methodological authority for intervention evidence; does not validate any synthetic record or substantive cannabis/psychedelic finding.,CERTIFY WITH LIMITATION
B078-FILM-S6,078,B film/transcript,"SAVE. CHANGE LANGUAGE, NOT EVIDENCE. Keep every limit attached.",mixed: design synthesis with contextual external premise,COCHRANE,"Cochrane Handbook for Systematic Reviews of Interventions, version 6.5",Cochrane,2024-08,"https://training.cochrane.org/handbook — Chapters 3–5 (questions, eligibility, sources); Chapters 7–8 (data and risk of bias); Chapter 14 (interpreting results)",direct,The authority supports the underlying method or bounded premise; RN's prescribed interface remains a synthesis.,Methodological authority for intervention evidence; does not validate any synthetic record or substantive cannabis/psychedelic finding.,CERTIFY WITH LIMITATION
B079-FILM-S1,079,B film/transcript,BUILD 079. SEARCH RESULT ≠ EVIDENCE MAP. Keywords can miss the question.,prototype identity / synthesis,SELF,RN Builds public implementation,Rayven-Nikkita Collins,2026,Live overview/A/B route; exact build and scene identified in row,not externally dependent,"Names the public prototype or states its design question; the live route verifies the artifact, not an external outcome.",Implementation/synthetic-design evidence only; not independent real-world validation.,CERTIFY AS SYNTHESIS
