"release_order","week","planned_day","build_id","title","field","audience","asset_status","editorial_status","linkedin_status","linkedin_post_url","scheduled_at","published_at","performance_24h","performance_7d","repurpose_status","notes"
"19","7","Tuesday","006","Form Gate Field","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"20","7","Thursday","030","Interface Repair in Motion","Human systems & health","Health and human-centered teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"21","7","Saturday","046","Essential systems cross the shore","Place, public life & resilience","Public-interest and community leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"22","8","Tuesday","009","Transfer Is a Place Question","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"23","8","Thursday","007","The Product That Learns","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"24","8","Saturday","042","A prompt is not a job description","Human systems & health","Health and human-centered teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"25","9","Tuesday","047","A good idea is not context-free","Place, public life & resilience","Public-interest and community leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"26","9","Thursday","012","Controls Follow Consequence","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"27","9","Saturday","011","Same Name Is Not Same Entity","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"28","10","Tuesday","045","Availability is not access","Human systems & health","Health and human-centered teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"29","10","Thursday","013","Follow the Consequence","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"30","10","Saturday","017","The Risk Lives Between the Boxes","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"31","11","Tuesday","054","Make the Space Adapt to the Person","Human systems & health","Health and human-centered teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"32","11","Thursday","015","From Matter Work to Reusable System","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"33","11","Saturday","018","The Process Is Part of the Outcome","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"34","12","Tuesday","060","Catch the IP Before It Disappears","Human systems & health","Health and human-centered teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"35","12","Thursday","016","The Matter Beneath the Matter","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"36","12","Saturday","025","Readiness Has Layers","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"37","13","Tuesday","073","Access for Whom?","Human systems & health","Health and human-centered teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"38","13","Thursday","019","The Alert That Knows Who Cares","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"39","13","Saturday","027","Ownership Exposure Board","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"40","14","Tuesday","088","Your network is not a contact list","Human systems & health","Health and human-centered teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"41","14","Thursday","020","Open the Decision","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"42","14","Saturday","028","Ranking Rationale","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"43","15","Tuesday","098","Care continues between big moments","Human systems & health","Health and human-centered teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"44","15","Thursday","021","Break the Promise Open","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"45","15","Saturday","029","Consequence Propagation","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"46","16","Tuesday","023","Consent That Can Change Its Mind","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"47","16","Thursday","033","Attack Graph","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"48","16","Saturday","024","The Best Data Risk Is Data Never Collected","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"49","17","Tuesday","036","Offline is a product state","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"50","17","Thursday","026","Records Normalize Without Losing Their Past","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"51","17","Saturday","043","More agents create more handoffs","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"52","18","Tuesday","031","Telemetry Privacy Field","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"53","18","Thursday","049","A preference is not permanent","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"54","18","Saturday","032","Release Blocker Door","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"55","19","Tuesday","051","Teach the Cannabis Part I Actually Need","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"56","19","Thursday","034","Incident Replay Graph","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"57","19","Saturday","052","Beyond the Strain Name","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"58","20","Tuesday","037","Feedback is a signal, not a command","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"59","20","Thursday","053","Run a Tiny Experiment","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"60","20","Saturday","039","A trace is evidence, not truth","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"61","21","Tuesday","055","Let the Smart Home Explain Itself","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"62","21","Thursday","040","Confidence is not permission","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"63","21","Saturday","057","Show Me Where This Content Came From","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"64","22","Tuesday","041","AI work needs an owner","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"65","22","Thursday","062","The Interview Is More Than a Transcript","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"66","22","Saturday","044","Requirements are not copy-paste blocks","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"67","23","Tuesday","063","Research That Does Not Die in a Folder","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"68","23","Thursday","048","The rule and journey differ","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"69","23","Saturday","064","An Industry With Amnesia","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"70","24","Tuesday","056","What Do You Actually Own?","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"71","24","Thursday","067","A Digital Twin Begins With Gaps","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"72","24","Saturday","058","Trace a Claim All the Way Back","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"73","25","Tuesday","077","What Does This Change Actually Do?","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"74","25","Thursday","059","Verify the Legal Citation","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"75","25","Saturday","081","What Are People Repeatedly Struggling With?","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"76","26","Tuesday","061","Why Did We Decide That?","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"77","26","Thursday","089","Stop being the only database","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"78","26","Saturday","066","The Firm Knows More Than Its Folders","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"79","27","Tuesday","092","The work lives between the tools","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"80","27","Thursday","068","From Knowing You to Acting for You","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"81","27","Saturday","096","Experience is more than a label","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"82","28","Tuesday","069","Enacted Is Not Implemented","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"83","28","Thursday","097","Personalization you can control","AI, systems & organizational design","Founders, operators and innovation teams","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"84","28","Saturday","070","Legalization Is a Lifecycle, Not a Vote","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"85","29","Tuesday","071","Legal Does Not Mean Accessible","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"86","29","Thursday","074","Is the System Actually Ready?","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"87","29","Saturday","075","Same Goal, Different Regulatory Machine","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"88","30","Tuesday","076","What Is Actually Different Between These Laws?","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"89","30","Thursday","078","Translate the Evidence Without Breaking It","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"90","30","Saturday","079","Find the Evidence That Actually Answers Your Question","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"91","31","Tuesday","080","Turn Reporting Into Public Infrastructure","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"92","31","Thursday","083","Turn Real Work Into Public Proof Without Leaking the Work","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"93","31","Saturday","085","Who is shaping this decision?","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"94","32","Tuesday","086","Use the post as a prototype","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"95","32","Thursday","087","Build your own media system","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"96","32","Saturday","090","Build agents that show their work","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"97","33","Tuesday","091","What may this AI remember?","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"98","33","Thursday","094","Can you prove how work happened?","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"99","33","Saturday","095","Governance reaches the body","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
"100","34","Tuesday","099","Build an island resilience commons","Law, governance & evidence","Legal and policy leaders","verified on site","ready for human sign-off","not scheduled","","","","","","not started",""
