build_id,status,decision,public_retained_records,reason,minimum_next_evidence
"040","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"041","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"042","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"043","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"044","structured public; certification open","HOLD","0","Public archive exists but exposes no retained source record that can support claim-level review","Recover retained research corpus; publish lawful source surrogates; then complete claim matrix and second-review"
"045","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"046","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"047","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"048","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"049","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"050","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"051","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"052","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"053","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"054","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"055","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"056","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"057","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"058","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"059","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"060","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"061","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"062","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"063","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"064","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"065","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"066","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"067","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"068","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"069","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"070","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"071","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"072","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"073","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"074","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"075","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"076","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"077","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"078","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"079","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"080","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"081","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"082","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"083","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"084","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"085","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"086","specification retained; archive incomplete","HOLD","0","Only a specification-stage boundary is publicly represented; evidence archive is incomplete","Complete archive and retained research first; then inventory and certify material claims"
"087","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"088","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"089","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"090","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"091","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"092","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"093","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"094","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"095","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"096","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"097","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"098","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"099","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
"100","retained; public certification open","HOLD","0","Retained state is declared but no public archive or claim record is available for reproducible review","Recover retained corpus; decide lawful public disclosure; publish claim ledger only after source-location review"
