build_id,decision,public_label,source,locator,classification,limitation,distribution_scope
"033","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST Artificial Intelligence Risk Management Framework 1.0 (NIST AI 100-1, 26 January 2023)","§§3.4 and 5; Core GOVERN, MAP, MEASURE and MANAGE tables","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Voluntary cross-sector risk-management context only. It does not prescribe this interface or prove thresholds, consequences, readiness, compliance, safety, effectiveness or outcomes.","Overview, A, B, transcript and matching distribution copy"
"010","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","W3C Shapes Constraint Language (SHACL), Recommendation (20 July 2017)","§§1–2","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Defines RDF graph constraints and validation only. It does not establish that every ambiguous concept becomes testable or that this prototype's domain model is valid.","Overview, A, B, transcript and matching distribution copy"
"011","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","W3C PROV Model Primer and PROV-O, Recommendations (30 April 2013)","PROV Primer §§2.1–2.5; PROV-O §§3.1–3.2","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Supports provenance representation only. It does not prove identity, truth, source quality, legal authority or decision correctness.","Overview, A, B, transcript and matching distribution copy"
"014","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","American Bar Association, Model Rules of Professional Conduct","Rules 1.1, 1.3, 1.6, 5.1, 5.3 and 5.5, with cited comments","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Nonbinding model rules, not the law of a named jurisdiction. They contextualize professional boundaries but do not approve or certify this legal-work prototype.","Overview, A, B, transcript and matching distribution copy"
"015","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","American Bar Association, Model Rules of Professional Conduct","Rules 1.1, 1.3, 1.6, 5.1, 5.3 and 5.5, with cited comments","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Nonbinding model rules, not the law of a named jurisdiction. They contextualize professional boundaries but do not approve or certify this legal-work prototype.","Overview, A, B, transcript and matching distribution copy"
"016","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","American Bar Association, Model Rules of Professional Conduct","Rules 1.1, 1.3, 1.6, 5.1, 5.3 and 5.5, with cited comments","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Nonbinding model rules, not the law of a named jurisdiction. They contextualize professional boundaries but do not approve or certify this legal-work prototype.","Overview, A, B, transcript and matching distribution copy"
"018","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","UK Government Digital Service, Service Standard","Points 1, 4 and 10","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","UK service-design guidance only. It supports user-centred service review but does not prove an institutional bottleneck, burden or successful repair.","Overview, A, B, transcript and matching distribution copy"
"019","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST SP 800-61 Rev. 3, Incident Response Recommendations and Considerations for Cybersecurity Risk Management (April 2025)","§§2.4 and 3; RS.MA, RS.AN and ID.IM mappings","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Cybersecurity incident-response context only. Use for non-security alerts and consequential events is analogy and RN synthesis; it does not prove causation, response quality or outcomes.","Overview, A, B, transcript and matching distribution copy"
"023","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","Regulation (EU) 2016/679 (GDPR), official EUR-Lex text","Articles 5, 7, 12–17 and 20–21","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Legal context depends on material and territorial scope, role, lawful basis, exceptions, identity verification and third-party rights. This prototype does not determine rights or compliance.","Overview, A, B, transcript and matching distribution copy"
"027","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","U.S. Copyright Office, Copyright Basics, Circular 1 (September 2021 revision)","pp. 1–3, ownership and exclusive-rights sections","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Supports U.S. copyright concepts only. Contracts, platform terms, trademark, publicity, other IP and actual ownership chains remain outside scope.","Overview, A, B, transcript and matching distribution copy"
"030","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","W3C Web Content Accessibility Guidelines (WCAG) 2.2, Recommendation (5 October 2023)","Guidelines 1.3, 1.4, 2.1–2.5, 3.1 and 3.3; conformance §5","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Provides web accessibility criteria only. It does not simulate disability or establish conformance, usability, localization quality or legal compliance.","Overview, A, B, transcript and matching distribution copy"
"031","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST Privacy Framework v1.0 (16 January 2020)","Core Identify-P, Govern-P, Control-P, Communicate-P and Protect-P","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Voluntary privacy-risk framework only. It does not establish necessity, privacy, security, legal basis or compliance for this prototype.","Overview, A, B, transcript and matching distribution copy"
"036","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST SP 800-34 Rev. 1, Contingency Planning Guide for Federal Information Systems (May 2010)","§3, especially §§3.4–3.6; Appendix D","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Federal information-system contingency guidance only. It cannot prove this prototype survives offline conditions or establish universal resilience requirements.","Overview, A, B, transcript and matching distribution copy"
"020","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","W3C PROV","Public record locator","Scoped concepts; method is RN synthesis","No truth, legality, quality or permission proof.","All public surfaces"
"026","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","W3C PROV","Public record locator","Scoped concepts; method is RN synthesis","No truth, legality, quality or permission proof.","All public surfaces"
"024","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","Regulation (EU) 2016/679 (GDPR)","Article 5(1)(b)–(c)","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Purpose limitation and data minimisation are direct legal principles, but application and compliance remain fact-, role- and jurisdiction-specific.","Overview, A, B, transcript and matching distribution copy"
"029","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","W3C PROV Primer and PROV-O","Primer §§2.1–2.3; PROV-O §3.1 wasDerivedFrom and wasInformedBy","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Provenance/dependency representation only; it does not prove causation, consequence, legal effect or completeness.","Overview, A, B, transcript and matching distribution copy"
"032","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST AI Risk Management Framework 1.0","Core GOVERN, MAP, MEASURE and MANAGE; MANAGE 1.1","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Voluntary framework only; it does not authorize release or prove readiness, safety, compliance or outcomes.","Overview, A, B, transcript and matching distribution copy"
"034","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST Cybersecurity Framework 2.0","§2.4; Detect, Respond, Recover; ID.IM","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Cybersecurity context only; broader event reconstruction is analogy and does not prove causation or fault.","Overview, A, B, transcript and matching distribution copy"
"035","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","Regulation (EU) 2016/679 (GDPR)","Article 20(1)–(4)","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Portability is scope-, role-, lawful-basis-, exception-, identity- and third-party-rights-dependent; no real transfer or compliance is established.","Overview, A, B, transcript and matching distribution copy"
"037","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST AI Risk Management Framework 1.0","GOVERN 1.6; MANAGE 4.1–4.3","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Feedback and change-management context only; it does not validate the workflow or establish effectiveness or outcomes.","Overview, A, B, transcript and matching distribution copy"
"038","PASS","CLAIM CLASSIFICATION COMPLETE — QUALIFIED DESIGN PROPOSITION","NIST AI Risk Management Framework 1.0","MAP 1.1; MEASURE 1.1–1.3 and 2; MANAGE 1.1","Scoped factual context; public method and distribution proposition remain RN synthesis or observable implementation","Context-bounded evaluation only; it does not certify thresholds, safety, readiness, compliance or outcomes.","Overview, A, B, transcript and matching distribution copy"
